GENUS	SPECIES	SUBSPECIES	REFERENCE	STATUS	AUTHORS	REMARKS	RISK_GRP	TYPE_STRAINS	RECORD_NO	RECORD_LNK
Cupriavidus	campinensis		54:2287	comb. nov. (VL)	(Goris et al. 2001) Vandamme and Coenye 2004		1	CCUG 44526, LMG 19282, WS2	775315	
Cupriavidus	gilardii		54:2287	comb. nov. (VL)	(Coenye et al. 1999) Vandamme and Coenye 2004		1, +	API 121-2-84, CCUG 38401, LMG 5886	775316	
Cupriavidus	laharis		56:977*	sp. nov. (VP)	Sato et al. 2006		1	1263a, CIP 108726, PNCM 10347	783713	
Cupriavidus	metallidurans		54:2287	comb. nov. (VL)	(Goris et al. 2001) Vandamme and Coenye 2004		1	CH34, CIP 107179, DSM 2839, LMG 1195	775317	
Cupriavidus	nantongensis		66:2340*	sp. nov. (VP)	Sun et al. 2016			X1, KCTC 42909, LMG 29218	794208	
Cupriavidus	necator		37:323*	sp. nov. (VP)	Makkar and Casida 1987		1	ATCC 43291, DSM 13513, N-1	775318	
Cupriavidus	numazuensis		63:210*	comb. nov. (VP)	(Kageyama et al. 2005) Martínez-Aguilar et al. 2013		1	TE26, LMG 26411, DSM 15562, CIP 108892	790418	
Cupriavidus	oxalaticus		54:2288*	comb. nov. (VP)	(Sahin et al. 2000) Vandamme and Coenye 2004		1	ATCC 11883, CCUG 2086, DSM 1105, LMG 2235, NCIMB 8642, Ox1	775319	
Cupriavidus	pampae		60:2611*	sp. nov. (VP)	Cuadrado et al. 2010		1	CPDB6, CCM-A-29:1289, CCUG 55948	788872	
Cupriavidus	pauculus		54:2288	comb. nov. (VL)	(Vandamme et al. 1999) Vandamme and Coenye 2004		2	CCUG 12507, CDC E6793, LMG 3244	775320	
Cupriavidus	pinatubonensis		56:977*	sp. nov. (VP)	Sato et al. 2006		1	1245, CIP 108725, PNCM 10346	783714	
Cupriavidus	plantarum		65:741	sp. nov. (VL)	Estrada-de Los Santos et al. 2015			ASC-64, BCCM/LMG 26296, CIP 110328	792638	
Cupriavidus	respiraculi		54:2288	comb. nov. (VL)	(Coenye et al. 2003) Vandamme and Coenye 2004		1, +	AU3313, CCUG 46809, LMG 21510	775321	
Cupriavidus	taiwanensis		54:2288	comb. nov. (VL)	(Chen et al. 2001) Vandamme and Coenye 2004		1, +	CCUG 44338, LMG 19424, R1	775323	
Cupriavidus	yeoncheonensis		65:3764	sp. nov. (VL)	Singh et al. 2015	the original spelling of the specific epithet, <i>yeoncheonense</i> (sic), has been corrected on validation. In the Validation List 166 (IJSEM 65:3763–3767) the name is erroneously listed as <i>Cupravidus yeoncheonensis</i> (sic). The correct name was sta		DCY86, JCM 19890, KCTC 42053	793405	
Curtobacterium			30:288 (AL)	genus (AL)	Yamada and Komagata 1972				515449	
Curtobacterium	albidum		30:288 (AL)	species (AL)	(Komagata and Iizuka 1964) Yamada and Komagata 1972		1	ATCC 15831, CCM 2296, DSM 20512, IAM 1631, NCIB 11030	775324	
Curtobacterium	ammoniigenes		57:1451*	sp. nov. (VP)	Aizawa et al. 2007		1	B55, NBRC 101786, VTCC D6-11, JCM 14609	786484	
Curtobacterium	citreum		30:288 (AL)	species (AL)	(Komagata and Iizuka 1964) Yamada and Komagata 1972		1	ATCC 15828, CCM 2297, DSM 20528, IAM 1614, IMET 10359, NCIB 10702	775325	
Curtobacterium	flaccumfaciens		34:270	comb. nov. (VL)	(Hedges 1922) Collins and Jones 1984		1, p2	NCPPB 1446, CIP 107085, ICMP 2584, JCM 9670, LMG 3645	775326	
Curtobacterium	ginsengisoli		58:2396*	sp. nov. (VP)	Kim et al. 2008		1	DCY26, JCM 14773, KCTC 13163	787564	790227
Curtobacterium	herbarum		52:1452*	sp. nov. (VP)	Behrendt et al. 2002		1	DSM 14013, LMG 19917, P 420/07	775327	
Curtobacterium	luteum		30:288 (AL)	species (AL)	(Komagata and Iizuka 1964) Yamada and Komagata 1972		1	ATCC 15830, CCM 2298, DSM 20542, IAM 1623, IMET 10360, NCIB 11029	775328	
Curtobacterium	plantarum		39:247*	sp. nov. (VP)	Dunleavy 1989		1	ATCC 49174, CL63, DSM 7069	775329	
Curtobacterium	pusillum		30:288 (AL)	species (AL)	(Iizuka and Komagata 1965) Yamada and Komagata 1972		1	ATCC 19096, DSM 20527, IAM 1479, IMET 11077, NCIB 10354	775331	
Curtobacterium	saperdae		30:288 (AL)	species (AL)	(Lysenko 1959) Yamada and Komagata 1972		1	ATCC 19272, DSM 20169, IMET 11076	775332	778062
Curtobacterium	testaceum		30:288 (AL)	species (AL)	(Komagata and Iizuka 1964) Yamada and Komagata 1972		1	ATCC 15829, DSM 20166, IMET 10361	775334	778067
Curvibacter			54:2228*	gen. nov. (VP)	Ding and Yokota 2004				515450	
Curvibacter	delicatus		54:2229*	comb. nov. (VP)	(Leifson 1962) Ding and Yokota 2004		1	ATCC 14667, DSM 11558, IAM 14955	775335	
Curvibacter	fontanus		60:2509	sp. nov. (VL)	Ding and Yokota 2010	name has been corrected on validation	1	AQ9, IAM 15072, CCTCC AB 206021	788774	
Curvibacter	gracilis		54:2228	sp. nov. (VL)	Ding and Yokota 2004		1	7-1, ATCC BAA-807, IAM 15033	783715	
Curvibacter	lanceolatus		54:2229	comb. nov. (VL)	(Leifson 1962) Ding and Yokota 2004		1	ATCC 14669, IAM 14947	783716	
Cutibacterium			66:4430*	gen. nov. (VP)	Scholz and Kilian 2016				519072	
Cutibacterium	acnes		66:4430*	comb. nov. (VP)	(Gilchrist 1900) Scholz and Kilian 2016		2	ATCC 6919, VKM Ac-1450, NCTC 737, CCUG 1794, CIP 53.117, DSM 1897, JCM 6425, LMG 16711, NRRL B-4224	794765	
Cutibacterium	avidum		66:4430*	comb. nov. (VP)	(Eggerth 1935) Scholz and Kilian 2016		2	ATCC 25577, NCTC 11864, CCUG 36754, CIP 103261, DSM 4901, IFO 15671, NBRC 15671	794766	
Cutibacterium	granulosum		66:4430*	comb. nov. (VP)	(Prévot 1938) Scholz and Kilian 2016		2, ht	ATCC 25564, NCTC 11865, CCUG 32987, CIP 103262, DSM 20700, JCM 6498, LMG 16726	794767	
Cyclobacterium			40:345*	gen. nov. (VP)	Raj and Maloy 1990 emend. Ying et al. 2006 emend. Jung et al. 2013 emend. Chen et al. 2014 emend. Shin and Kahng 2017	emended descriptions: IJSEM 56:2929*, IJSEM 53:3162* and IJSEM 64:892* and IJSEM 67:2082 (List of Changes in Taxonomic Opinion)			515453	
Cyclobacterium	amurskyense		55:2394*	sp. nov. (VP)	Nedashkovskaya et al. 2005 emend. Hahnke et al. 2016	emended description IJSEM 67:2083 (List of Changes in Taxonomic Opinion)	1	KCTC 12363, KMM 6143, LMG 23026	783717	
Cyclobacterium	caenipelagi		63:3162*	sp. nov. (VP)	Jung et al. 2013		1	HD-17, KCTC 32178, CCUG 63247	791077	
Cyclobacterium	halophilum		64:1004*	sp. nov. (VP)	Shahinpei et al. 2014		1	GASx41, IBRC-M 10761, CECT 8341	791610	
Cyclobacterium	jeungdonense		64:14*	sp. nov. (VP)	Joung et al. 2014		1	HMD3055, KCTC 23150, CECT 7706	791496	
Cyclobacterium	lianum		56:2929*	sp. nov. (VP)	Ying et al. 2006		1	HY9, CGMCC 1.6102, JCM 14011	785803	
Cyclobacterium	marinum		40:346*	comb. nov. (VP)	(Raj 1976) Raj and Maloy 1990 emend. Hahnke et al. 2016	nom. corrig.: IJSB 48:1073*; <I>Cyclobacterium marinus</I> (sic); emended description IJSEM 67:2083 (List of Changes in Taxonomic Opinion)	1	ATCC 25205, DSM 745, Raj	775347	
Cyclobacterium	marinus		40:346*	orthographically incorrect name	(Raj 1976) Raj and Maloy 1990		1		783718	775347
Cyclobacterium	qasimii		62:2138*	sp. nov. (VP)	Shivaji et al. 2012 emend. Hahnke et al. 2016	emended description IJSEM 67:2083 (List of Changes in Taxonomic Opinion)	1	M12-11B, KCTC 23011, NBRC 106168	790132	
Cyclobacterium	xiamenense		64:892*	sp. nov. (VP)	Chen et al. 2014		1	KD51, KCTC 32253, CGMCC 1.12432	791609	
Cycloclasticus			45:120*	gen. nov. (VP)	Dyksterhouse et al. 1995				517217	
Cycloclasticus	pugetii		45:120*	sp. nov. (VP)	Dyksterhouse et al. 1995		1	ATCC 51542, PS-1	783719	
Cysteiniphilum			67:2181*	gen. nov. (vp)	Liu et al. 2017				519211	
Cysteiniphilum	litorale		67:2182*	sp. nov. (VP)	Liu et al. 2017			SYSU D3-2, KCTC 52386, NBRC 112441, DSM 101832, CGMCC 1.15758	795537	
Cystobacter			30:288 (AL)	genus (AL)	Schroeter 1886	Type genus of the family <i>Cystobacteraceae</i> McCurdy 1970  which is a later heterotypic synonym of the family <i>Archangiaceae</i> Jahn 1924			515459	
Cystobacter	armeniaca		57:893	sp. nov. (VL)	Reichenbach 2007		1	Cb a1, DSM 14710, CIP 109127	775368	
Cystobacter	badius		57:893	sp. nov. (VL)	Reichenbach 2007		1	Cb b2, DSM 14723, CIP 109126	775369	
Cystobacter	ferrugineus		30:288 (AL)	species (AL)	(Krzemieniewska and Krzemieniewski 1927) McCurdy 1970		1	Cb fe18 (replaces as neotype strain the lost strain Windsor M-203), DSM 14716, JCM 12624	775371	
Cystobacter	fuscus		30:289 (AL)	species (AL)	Schroeter 1886		1	ATCC 25194, DSM 2262	775372	
Cystobacter	gracilis		63:1577	sp. nov. (VL)	Reichenbach 2013		1	Cb g1, DSM 14753, JCM 12625	775373	
Cystobacter	miniatus		57:893	sp. nov. (VL)	Reichenbach 2007		1	Cb a24, DSM 14712, CIP 109119	775374	
Cystobacter	minus		30:289 (AL)	species (AL)	(Krzemieniewska and Krzemieniewski 1926) McCurdy 1970		1	Cb m2 (replaces as neotype strain the lost strain Windsor M-307), DSM 14751, JCM 12627	775375	793450
Cystobacter	velatus		57:893	sp. nov. (VL)	Reichenbach 2007		1	Cb v34, DSM 14718, CIP 109132	775377	
Cystobacter	violaceus		57:894	nom. rev., comb. nov. (VL)	(ex Kühlwein and Gallwitz 1958) Reichenbach 2007		1	Cb vi61, DSM 14727, CIP 109131	775378	786218
Cytophaga			30:289 (AL)	genus (AL)	Winogradsky 1929 emend. Nakagawa and Yamasato 1996	emendation is confined to the type species C. hutchinsonii and to C. aurantiaca; IJSB 46:600*			515462	
Cytophaga	agarovorans		39:495	sp. nov. (VL)	Reichenbach 1989		1	ATCC 19043	775382	777679
Cytophaga	aprica		39:495	sp. nov. (VL)	Reichenbach 1989		1	ATCC 23126	775384	776214
Cytophaga	aquatilis		30:289 (AL)	species (AL)	Strohl and Tait 1978		1, t2	ATCC 29551, DSM 2063	775385	776249
Cytophaga	arvensicola		33:438	sp. nov. (VL)	Oyaizu et al. 1983		1	DSM 3695, IAM 12650, JCM 2836, M64, NCIB 11855	785459	785458
Cytophaga	aurantiaca		39:495	sp. nov., nom. rev. (VL)	(ex Winogradsky 1929) Reichenbach 1989 emend. Hahnke et al. 2016	emended description IJSEM 67:2083 (List of Changes in Taxonomic Opinion)	1	ATCC 12208, DSM 3654, NCIB 8628	775387	
Cytophaga	columnaris		39:495	sp. nov. (VL), homotypic syn.	Reichenbach 1989	Flexibacter columnaris has page priority IJSB 39:352*	1, t2	NCMB 2248	783721	783845
Cytophaga	diffluens		39:495	sp. nov. (VL)	Reichenbach 1989		1	DSM 3658, NCMB 1402	775388	779404
Cytophaga	fermentans		30:289 (AL)	species (AL)	Bachmann 1955		1	ATCC 19072, DSM 9555	775391	791731
Cytophaga	flevensis		30:289 (AL)	species (AL)	van der Meulen et al. 1974		1	ATCC 27944, DSM 1076	775392	776236
Cytophaga	heparina		30:473*	comb. nov. (VP), homotypic syn.	(Payza and Korn 1956) Christensen 1980		1	ATCC 13125, DSM 2366, IFO 12017, NCIB 9290	775393	779224
Cytophaga	hutchinsonii		30:289 (AL)	species (AL)	Winogradsky 1929 emend. Hahnke et al. 2016	emended description IJSEM 67:2083 (List of Changes in Taxonomic Opinion)	1	DSM 1761, IMET 11357, NCIB 9469	775394	
Cytophaga	johnsonae		30:289 (AL)	species (AL)	Stanier 1947		1, t2	ATCC 17061, DSM 2064, NCIB 11054	775395	776250
Cytophaga	latercula		30:289 (AL)	species (AL)	Lewin 1969		1	ATCC 23177, DSM 2041	775397	785435
Cytophaga	lytica		30:289 (AL)	species (AL)	Lewin 1969		1	ATCC 23178, DSM 7489	775398	774569
Cytophaga	marina		39:495	sp. nov., nom. rev. (VL), heterotypic syn.	(ex Hikida et al. 1979) Reichenbach 1989	synonymy: IJSB 42:185*	1, t2	NCMB 2153	783722	782402
Cytophaga	marinoflava		39:495	sp. nov. (VL)	(ex Colwell et al. 1966) Reichenbach 1989		1	ATCC 19326, DSM 3653, NCMB 397	775399	777451
Cytophaga	pectinovora		39:495	sp. nov. (VL)	Reichenbach 1989		1	ATCC 19366, Dorey 81, DSM 6368, NCIB 9059	775400	776260
Cytophaga	psychrophila		39:495	sp. nov., nom. rev. (VL), homotypic syn.	(<I>ex</I> Borg 1960) Reichenbach 1989	junior synonym: Flexibacter psychrophilus  has page priority	1, t2	DSM 3660, NCMB 1947	775401	776263
Cytophaga	saccharophila		39:495	sp. nov. (VL)	Reichenbach 1989		1	DSM 1811, NCIB 2072	775402	776265
Cytophaga	salmonicolor		30:289 (AL)	species (AL)	Veldkamp 1961		1	ATCC 19041, DSM 6480	775403	777679
Cytophaga	succinicans		39:495	sp. nov. (VL)	Reichenbach 1989		1	DSM 4002	775405	776270
Cytophaga	uliginosa		39:495	comb. nov. (VL), homotypic syn.	(ZoBell and Upham 1944) Reichenbach 1989	"""Agarbacterium uliginosum"""	1	ATCC 14397, DSM 2061, ZoBell 553	775406	783211
Cytophaga	xylanolytica		43:624	sp. nov. (VL)	Haack and Breznak 1993		1	DSM 6779, XM3	775408	
Dactylosporangium			30:289 (AL)	genus (AL)	Thiemann et al. 1967				515467	
Dactylosporangium	aurantiacum		30:289 (AL)	species (AL)	Thiemann et al. 1967		1	ATCC 23491, DSM 43157, IFO 12592, IMET 9028	775419	
Dactylosporangium	cerinum		65:2778	sp. nov. (VL)	Liu et al. 2015			NEAU-TPG4, CGMCC 4.7152, DSM 46712	793219	
Dactylosporangium	darangshiense		60:1259*	sp. nov. (VP)	Seo and Lee 2010		1	DLS-44, KCTC 19560, DSM 45260	788571	
Dactylosporangium	fulvum		36:166*	sp. nov. (VP)	Shomura et al. 1986		1	DSM 43917, IFO 14381, SF-2113	775420	
Dactylosporangium	luridum		60:1819*	sp. nov. (VP)	Kim et al. 2010		1	BK63, DSM 45324, KACC 20933, NRRL B-24775	788663	
Dactylosporangium	luteum		60:1821*	sp. nov. (VP)	Kim et al. 2010		1	BK51, DSM 45323, KACC 20899, NRRL B-24774	788664	
Dactylosporangium	maewongense		60:1203*	sp. nov. (VP)	Chiaraphongphon et al. 2010		1	MW2-25, BCC 34832, JCM 15933	788543	
Dactylosporangium	matsuzakiense		33:672	sp. nov. (VL)	Shomura and Niida 1983		1	ATCC 31570, DSM 43810, FERM-P 4670, SF-2052	775421	
Dactylosporangium	roseum		35:1*	sp. nov. (VP)	Shomura et al. 1985		1	DSM 43916, IFO 14352, SF-2186	775422	
Dactylosporangium	salmoneum		60:1821*	sp. nov., nom. rev. (VP)	(ex Celmer et al. 1978) Kim et al. 2010		1	NRRL B-16294, ATCC 31222, DSM 43910, JCM 3272, NBRC 14103	788665	
Dactylosporangium	siamense		63:4037*	sp. nov. (VP)	Thawai and Suriyachadkun 2013		1	MW4-36, BCC 34901, NBRC 106093	791303	
Dactylosporangium	solaniradicis		66:3762	sp. nov. (VL)	Fan et al. 2016			NEAU-FJL2, CGMCC 4.7302, DSM 100814	794455	
Dactylosporangium	sucinum		66:1	sp. nov. (VL)	Phongsopitanun et al. 2016			RY35-23, JCM 19831, TISTR 2212, PCU 333	793683	
Dactylosporangium	thailandense		30:289 (AL)	species (AL)	Thiemann et al. 1967		1	ATCC 23490, DSM 43158, IFO 12593, IMET 9029	775425	
Dactylosporangium	tropicum		61:2361*	sp. nov. (VP)	Thawai et al. 2011		1	KB2-4, BCC 34760, JCM 15673	789494	
Dactylosporangium	vinaceum		33:312*	sp. nov. (VP)	Shomura et al. 1983		1	ATCC 35207, DSM 43823, IFO 14181, SF-2127	775428	
Daeguia			58:171*	gen. nov. (VP)	Yoon et al. 2008				517744	
Daeguia	caeni		58:171*	sp. nov. (VP)	Yoon et al. 2008		1	K107, CCUG 54520, KCTC 12981	787126	
Daejeonia			67:2669*	gen. nov. (vp)	Siddiqi et al. 2017				519226	
Daejeonia	ginsenosidivorans		67:2670*	sp. nov. (VP)	Siddiqi et al. 2017			NP5, KACC 18626, LMG 29198	795666	
Dankookia			66:3762	gen. nov. (VL)	Kim et al. 2016				518999	
Dankookia	rubra		66:3762	sp. nov. (VL)	Kim et al. 2016			WS-10, JCM 30602, KACC 18533	794456	
Dasania			58:1511	gen. nov. (VL)	Lee et al. 2008				517797	
Dasania	marina		58:1511	sp. nov. (VL)	Lee et al. 2008		1	KOPRI 20902, JCM 13441, KCTC 12566	787422	
Dechloromonas			51:531*	gen. nov. (VP)	Achenbach et al. 2001				515474	
Dechloromonas	agitata		51:531*	sp. nov. (VP)	Achenbach et al. 2001		1	ATCC 700666, CKB, DSM 13637	775440	
Dechloromonas	denitrificans		55:1263*	sp. nov. (VP)	Horn et al. 2005		1	ATCC BAA-841, DSM 15892, ED1	775441	
Dechloromonas	hortensis		55:2067*	sp. nov. (VP)	Wolterink et al. 2005		1	ATCC BAA-776, DSM 15637, MA-1	775442	
Dechlorosoma			51:531*	gen. nov. (VP)	Achenbach et al. 2001	type species transferred to the genus <I>Azospira</I>; IJSEM 53:1141			515475	515215
Dechlorosoma	suillum		51:532*	sp. nov. (VP), heterotypic syn.	Achenbach et al. 2001	later subjective synonym of <I>Azospira oryzae</I>	1	ATCC BAA-33, DSM 13638, PS	775443	773589
Deefgea			57:644*	gen. nov. (VP)	Stackebrandt et al. 2007				517450	
Deefgea	chitinilytica		60:1453*	sp. nov. (VP)	Chen et al. 2010		1	Nsw-4, BCRC 17934, LMG 24817	788593	
Deefgea	rivuli		57:644*	sp. nov. (VP)	Stackebrandt et al. 2007		1	WB 3.4-79, DSM 18356, CIP 109326	786059	
Deferribacter			47:508*	gen. nov. (VP)	Greene et al. 1997				517002	
Deferribacter	abyssi		53:1640*	sp. nov. (VP)	Miroshnichenko et al. 2003		1	DSM 14873, JCM 11955, JR	775444	
Deferribacter	autotrophicus		59:1511*	sp. nov. (VP)	Slobodkina et al. 2009		1	SL50, DSM 21529, VKPM B-10097	787915	
Deferribacter	desulfuricans		53:845*	sp. nov. (VP)	Takai et al. 2003		1	DSM 14783, JCM 11476, SSM1	775445	
Deferribacter	thermophilus		47:509*	sp. nov. (VP)	Greene et al. 1997		1	ACM 5093, BMA	775446	
Deferrisoma			62:2466*	gen. nov. (VP)	Slobodkina et al. 2012				518260	
Deferrisoma	camini		62:2467*	sp. nov. (VP)	Slobodkina et al. 2012		1	S3R1, DSM 24185, VKM B-2672	790210	
Deferrisoma	palaeochoriense		66:835*	sp. nov. (VP)	Pérez-Rodríguez et al. 2016			MAG-PB1, JCM 30394, DSM 29363	793854	
Defluvibacter			49:1325	gen. nov. (VL), heterotypic syn.	Fritsche et al. 1999	type species transferred to the genus Aquamicrobium; IJSEM 59:2470*			515476	515157
Defluvibacter	lusatiae		49:1325	orthographically incorrect name	Fritsche et al. 1999	nom. corrig.: IJSB 49:1325	1		783723	788110
Defluvibacter	lusatiensis		49:1325	sp. nov. (VL)	Fritsche et al. 1999	nom. corrig.: IJSB 49:1325; <I>Defluvibacter lusatiae</I> (sic)	1	DSM 11099, S1	775447	788110
Defluvicoccus			55:2109*	orthographically incorrect name	Maszenan et al. 2005				517218	515477
Defluvicoccus	vanus		55:2109*	orthographically incorrect name	Maszenan et al. 2005		1		783724	775448
Defluviicoccus			55:2109*	gen. nov. (VP)	Maszenan et al. 2005				515477	
Defluviicoccus	vanus		55:2109*	sp. nov. (VP)	Maszenan et al. 2005		1	Ben 114, CIP 107350, NCIMB 13612	775448	
Defluviimonas			63:1	gen. nov. (VL)	Foesel et al. 2013 emend. Math et al. 2013	emended description: IJSEM 63:2899*			518202	
Defluviimonas	aestuarii		63:2899*	sp. nov. (VP)	Math et al. 2013		1	BS14, KACC 16442, JCM 18630	790996	
Defluviimonas	alba		65:1810*	sp. nov. (VP)	Pan et al. 2015			cai42, CGMCC 1.12518, LMG 27406	792881	
Defluviimonas	aquaemixtae		64:4196*	sp. nov. (VP)	Jung et al. 2014			CDM-7, KCTC 42108, CECT 8626	792363	
Defluviimonas	denitrificans		63:1	sp. nov. (VL)	Foesel et al. 2013		1	D9-3, DSM 18921, ATCC BAA-1447	789883	
Defluviimonas	indica		64:2088*	sp. nov. (VP)	Jiang et al. 2014		1	20V17, CGMCC 1.10859, JCM 17871, MCCC 1A01802	791868	
Defluviimonas	nitratireducens		67:2756*	sp. nov. (VP)	Liu et al. 2017			DL5-4, MCCC 1A06955, LMG 29616	795737	
Defluviitalea			62:554*	gen. nov. (VP)	Jabari et al. 2012				518173	
Defluviitalea	raffinosedens		67:1611*	sp. nov. (VP)	Ma et al. 2017			A6, DSM 28090, ACCC 19951	795290	
Defluviitalea	saccharophila		62:554*	sp. nov. (VP)	Jabari et al. 2012		1	LIND6LT2, DSM 22681, JCM 16312	789716	
Defluviitoga			62:1380*	gen. nov. (VP)	Ben Hania et al. 2012				518210	
Defluviitoga	tunisiensis		62:1380*	sp. nov. (VP)	Ben Hania et al. 2012		1	SulfLac1, DSM 23805, JCM 17210	789936	
Dehalobacter			48:631	gen. nov. (VL)	Holliger et al. 1998				515478	
Dehalobacter	restrictus		48:631	sp. nov. (VL)	Holliger et al. 1998		1	DSM 9455, PER-K23	775449	
Dehalococcoides			63:633*	gen. nov. (VP)	Löffler et al. 2013				518310	
Dehalococcoides	mccartyi		63:633*	sp. nov. (VP)	Löffler et al. 2013		1	195, ATCC BAA-2266, KCTC 15142	790528	
Dehalogenimonas			59:2696*	gen. nov. (VP)	Moe et al. 2009				517915	
Dehalogenimonas	alkenigignens		63:1497*	sp. nov. (VP)	Bowman et al. 2013 emend. Key et al. 2017	emended description: IJSEM 67:1372*	1	IP3-3, JCM 17062, NRRL B-59545	790685	
Dehalogenimonas	formicexedens		67:1372*	sp. nov. (VP)	Key et al. 2017			NSZ-14, HAMBI 3672, JCM 19277, VKM B-3058	795304	
Dehalogenimonas	lykanthroporepellens		59:2696*	sp. nov. (VP)	Moe et al. 2009		1	BL-DC-9, ATCC BAA-1523, JCM 15061	788171	
Dehalospirillum			52:1915	gen. nov. (VL), heterotypic syn.	Scholz-Muramatsu et al. 2002	type species transferred to the genus <I>Sulfurospirillum</I> IJSEM 53:791*			515480	516711
Dehalospirillum	multivorans		52:1915	sp. nov. (VL)	Scholz-Muramatsu et al. 2002		1	DSM 12446	775451	782334
Deinobacter			37:62*	gen. nov. (VP), heterotypic syn.	Oyaizu et al. 1987	type species transferred to the genus Deinococcus IJSB 47:510*			515481	515482
Deinobacter	grandis		37:62*	sp. nov. (VP)	Oyaizu et al. 1987		1	ATCC 43672, DSM 3963, IAM 13005, KS 0485	775452	775463
Deinobacterium			61:546*	gen. nov. (VP)	Ekman et al. 2011				518064	
Deinobacterium	chartae		61:546*	sp. nov. (VP)	Ekman et al. 2011		1	K4.1, DSM 21458, HAMBI 2721	789074	
Deinococcus			31:354*	gen. nov. (VP)	Brooks and Murray 1981 emend. Rainey et al. 1997	emend. description: IJSB 47:513*			515482	
Deinococcus	actinosclerus		66:1007*	sp. nov. (VP)	Joo et al. 2016			BM2, KEMB 5401-184, JCM 30700	793880	
Deinococcus	aerius		59:1865*	sp. nov. (VP)	Yang et al. 2009		1	TR0125, JCM 11750, DSM 21212	787996	
Deinococcus	aerolatus		60:1194*	sp. nov. (VP)	Yoo et al. 2010		1	5516T-9, JCM 15442, KACC 12745	788544	
Deinococcus	aerophilus		60:1195*	sp. nov. (VP)	Yoo et al. 2010		1	5516T-11, JCM 15443, KACC 12746	788545	
Deinococcus	aetherius		60:779*	sp. nov. (VP)	Yang et al. 2010		1	ST0316, DSM 21230, JCM 11751	788460	
Deinococcus	alpinitundrae		58:1257*	sp. nov. (VP)	Callegan et al. 2008 (complete authorship reads Callegan, da Costa and Rainey)		1	ME-04-04-52, LMG 24283, NRRL B-41948	787332	
Deinococcus	altitudinis		58:1257*	sp. nov. (VP)	Callegan et al. 2008 (complete authorship reads Callegan, da Costa and Rainey)		1	ME-04-01-32, LMG 24022, NRRL B-41947	787333	
Deinococcus	antarcticus		65:334*	sp. nov. (VP)	Dong et al. 2015			G3-6-20, DSM 27864, CCTCC AB 2013263	792531	
Deinococcus	apachensis		55:2235	sp. nov. (VL)	Rainey and da Costa 2005		1	KR-36, LMG 22135, NRRL B-23948	775454	
Deinococcus	aquaticus		58:2352*	sp. nov. (VP)	Im et al. 2008		1	PB314, KCTC 12552, NBRC 101311	775455	
Deinococcus	aquatilis		58:2805*	sp. nov. (VP)	Kämpfer et al. 2008		1	CCM 7524, CCUG 53370	787638	
Deinococcus	aquiradiocola		59:148*	sp. nov. (VP)	Asker et al. 2009		1	TDMA-uv53, CCUG 53612, JCM 14370, NBRC 102118	787674	
Deinococcus	arenae		66:3762	sp. nov. (VL)	Lee et al. 2016			SA1, JCM 31047, KCTC 33741	794457	
Deinococcus	budaensis		66:5350*	sp. nov. (VP)	Makk et al. 2016			FeSTC15-38, NCAIM B.02630, DSM 101791	794926	
Deinococcus	caeni		58:2352*	sp. nov. (VP)	Im et al. 2008		1	Ho-08, KCTC 12553, NBRC 101312	775456	
Deinococcus	carri		65:3181*	sp. nov. (VP)	Kim et al. 2015			MA1003, KACC 17965, NBRC 110142	793164	
Deinococcus	cellulosilyticus		57:1687*	sp. nov. (VP)	Weon et al. 2007		1	5516J-15, KACC 11606, DSM 18568	786606	
Deinococcus	citri		64:4139*	sp. nov. (VP)	Ahmed et al. 2014			NCCP-154, JCM 19024, DSM 24791, KCTC 13793	792343	
Deinococcus	claudionis		58:1256*	sp. nov. (VP)	Callegan et al. 2008 (complete authorship reads Callegan, da Costa and Rainey)		1	PO-04-19-125, LMG 24282, NRRL B-41949	787334	
Deinococcus	daejeonensis		62:1269*	sp. nov. (VP)	Srinivasan et al. 2012		1	MJ27, JCM 16918, KCTC 13751	789937	
Deinococcus	depolymerans		61:1452*	sp. nov. (VP)	Asker et al. 2011		1	TDMA-24, CCUG 53609, JCM 14368, NBRC 102115	789280	
Deinococcus	deserti		55:2445*	sp. nov. (VP)	de Groot et al. 2005		1	DSM 17065, LMG 22923, VCD115	775459	
Deinococcus	enclensis		65:1106	sp. nov. (VL)	Thorat et al. 2015			NIO-1023, DSM 25127, NCIM 5456	792750	
Deinococcus	erythromyxa		31:358*	sp. nov. (VP)	Brooks and Murray 1981	"synonym ""<I>Sarcina erythromyxa</I>"""	1	ATCC 187, DSM 11630, UWO 1045	775460	777198
Deinococcus	ficus		56:790*	sp. nov. (VP)	Lai et al. 2006 emend. Kämpfer 2009	type strain CCUG 51391 has been erroneously cited as CCUG 53391 in the paper by Lai et al. 2006; emended description: IJSEM 59:366*	1	CC-FR2-10, CCUG 51391, CIP 108832	783725	
Deinococcus	frigens		56:925	sp. nov. (VL)	Hirsch et al. 2006		1	AA-692, DSM 12807, NRRL B-41046	775461	
Deinococcus	geothermalis		47:945*	sp. nov. (VP)	Ferreira et al. 1997		1	AG-3a, DSM 11300	775462	
Deinococcus	gobiensis		59:1516*	sp. nov. (VP)	Yuan et al. 2009		1	I-0, CGMCC 1.7299, DSM 21396	787916	
